images\000000000000.tif  labels\000000000000.tif 
images\000000000001.tif  labels\000000000001.tif 
images\000000000002.tif  labels\000000000002.tif 
images\000000000003.tif  labels\000000000003.tif 
images\000000000004.tif  labels\000000000004.tif 
images\000000000005.tif  labels\000000000005.tif 
images\000000000006.tif  labels\000000000006.tif 
images\000000000007.tif  labels\000000000007.tif 
images\000000000008.tif  labels\000000000008.tif 
images\000000000009.tif  labels\000000000009.tif 
images\000000000010.tif  labels\000000000010.tif 
images\000000000011.tif  labels\000000000011.tif 
images\000000000012.tif  labels\000000000012.tif 
images\000000000013.tif  labels\000000000013.tif 
images\000000000014.tif  labels\000000000014.tif 
images\000000000015.tif  labels\000000000015.tif 
images\000000000016.tif  labels\000000000016.tif 
images\000000000017.tif  labels\000000000017.tif 
images\000000000018.tif  labels\000000000018.tif 
images\000000000019.tif  labels\000000000019.tif 
images\000000000020.tif  labels\000000000020.tif 
images\000000000021.tif  labels\000000000021.tif 
images\000000000022.tif  labels\000000000022.tif 
images\000000000023.tif  labels\000000000023.tif 
images\000000000024.tif  labels\000000000024.tif 
images\000000000025.tif  labels\000000000025.tif 
images\000000000026.tif  labels\000000000026.tif 
images\000000000027.tif  labels\000000000027.tif 
images\000000000028.tif  labels\000000000028.tif 
images\000000000029.tif  labels\000000000029.tif 
images\000000000030.tif  labels\000000000030.tif 
images\000000000031.tif  labels\000000000031.tif 
images\000000000032.tif  labels\000000000032.tif 
images\000000000033.tif  labels\000000000033.tif 
images\000000000034.tif  labels\000000000034.tif 
